id	gloss	domain	tier	pos_hint	is_root	derivation	source	notes
FUN-001	who	FUN	1	fun	yes		SW,FUN	question word, in-situ (0002 §6.4)
FUN-002	what	FUN	1	fun	yes		SW,FUN	question word
FUN-003	where	FUN	1	fun	yes		FUN	question word
FUN-004	when (Q)	FUN	1	fun	yes		FUN	question word
FUN-005	why	FUN	1	fun	yes		FUN	question word
FUN-006	how	FUN	1	fun	yes		FUN	question word
FUN-007	which	FUN	2	fun	yes		FUN	question word
FUN-008	how many / how much	FUN	1	fun	yes		FUN	question word, quantity
FUN-009	or	FUN	1	fun	yes		FUN	disjunction (cf. closed-class 'and'=i, 0002 §6.5)
FUN-010	but	FUN	1	fun	yes		FUN	adversative
FUN-011	if	FUN	1	fun	yes		FUN	conditional
FUN-012	because	FUN	1	fun	yes		FUN	causal
FUN-013	so / therefore	FUN	2	fun	yes		FUN	consequence
FUN-014	although	FUN	2	fun	yes		FUN	concessive
FUN-015	yes	FUN	1	fun	yes		FUN	affirmation
FUN-016	no (answer)	FUN	1	fun	yes		FUN	negative answer; distinct from clausal negator ne (0002 §6.2)
FUN-017	very	FUN	1	fun	yes		FUN	intensifier
FUN-018	also / too	FUN	1	fun	yes		FUN	additive
FUN-019	only / just	FUN	1	fun	yes		FUN	restrictive
FUN-020	again	FUN	2	fun	yes		FUN	repetition
FUN-021	maybe / perhaps	FUN	2	fun	yes		FUN	epistemic
QTY-001	zero	QTY	1	num	yes		MOD	numeral root (0003 §5)
QTY-002	one	QTY	1	num	yes		SW,LJ	numeral root
QTY-003	two	QTY	1	num	yes		SW,LJ	numeral root
QTY-004	three	QTY	1	num	yes		SW	numeral root
QTY-005	four	QTY	1	num	yes		SW	numeral root
QTY-006	five	QTY	1	num	yes		SW	numeral root
QTY-007	six	QTY	2	num	yes		IDS	numeral root
QTY-008	seven	QTY	2	num	yes		IDS	numeral root
QTY-009	eight	QTY	2	num	yes		IDS	numeral root
QTY-010	nine	QTY	2	num	yes		IDS	numeral root
QTY-011	ten	QTY	1	num	yes		SW	numeral root; powers of ten are roots
QTY-012	hundred	QTY	1	num	yes		SW	numeral root
QTY-013	thousand	QTY	2	num	yes		IDS	numeral root
QTY-014	million	QTY	3	num	yes		MOD	numeral root
QTY-015	eleven	QTY	2	num	no	ten + one	IDS	compositional numeral (0003 §5) — not a root
QTY-016	twenty	QTY	2	num	no	two + ten	IDS	compositional numeral
QTY-017	first	QTY	2	mod	no	one + ordinal(modifier reading)	IDS	ordinals are derived
QTY-018	all	QTY	1	fun	yes		SW	quantifier
QTY-019	many / much	QTY	1	fun	yes		SW	quantifier
QTY-020	few / little	QTY	1	fun	yes		SW	quantifier; core pair with many, kept (rule 1)
QTY-021	some	QTY	1	fun	yes		IDS	quantifier
QTY-022	none	QTY	1	fun	yes		IDS	kept as root — very high frequency (rule 3); not merely ne+some
QTY-023	every / each	QTY	2	fun	yes		IDS	quantifier
QTY-024	more	QTY	1	fun	yes		IDS	core pair with less, both kept (rule 1)
QTY-025	less	QTY	2	fun	yes		IDS	core pair with more, kept (rule 1)
QTY-026	enough	QTY	2	fun	yes		IDS	
QTY-027	half	QTY	2	num	yes		IDS	
QTY-028	number	QTY	2	n	yes		IDS	
QTY-029	part / piece	QTY	2	n	yes		IDS	
QTY-030	count	QTY	2	v	yes		IDS	
TIM-001	time	TIM	1	n	yes		IDS	
TIM-002	day	TIM	1	n	yes		SW	
TIM-003	night	TIM	1	n	yes		SW,LJ	
TIM-004	morning	TIM	2	n	yes		IDS	
TIM-005	evening	TIM	2	n	yes		IDS	
TIM-006	today	TIM	1	fun	yes		IDS	time-word (0002 §5.1)
TIM-007	tomorrow	TIM	1	n	yes		IDS	time-word
TIM-008	yesterday	TIM	1	n	yes		IDS	time-word
TIM-009	now	TIM	1	fun	yes		IDS	time-word
TIM-010	then (at that time)	TIM	2	fun	yes		IDS	time-word
TIM-011	year	TIM	1	n	yes		SW	
TIM-012	month	TIM	2	n	yes		IDS	
TIM-013	week	TIM	2	n	yes		MOD	
TIM-014	hour	TIM	2	n	yes		MOD	
TIM-015	before (earlier than)	TIM	1	fun	yes		IDS	temporal/spatial relation
TIM-016	after (later than)	TIM	1	fun	yes		IDS	temporal/spatial relation
TIM-017	always	TIM	1	fun	yes		IDS	
TIM-018	never	TIM	1	fun	yes		IDS	kept as root — very high frequency (rule 3); not merely ne+always
TIM-019	often	TIM	2	fun	yes		IDS	
TIM-020	sometimes	TIM	2	fun	yes		IDS	
TIM-021	early	TIM	2	mod	yes		IDS	core pair with late, kept
TIM-022	late	TIM	2	mod	yes		IDS	core pair with early, kept
PHY-001	sun	PHY	1	n	yes		SW,LJ	
PHY-002	moon	PHY	1	n	yes		SW	
PHY-003	star	PHY	1	n	yes		SW	
PHY-004	sky	PHY	2	n	yes		IDS	
PHY-005	ground / earth	PHY	1	n	yes		SW	
PHY-006	world	PHY	2	n	yes		IDS	
PHY-007	land	PHY	2	n	yes		IDS	
PHY-008	water	PHY	1	n	yes		SW,LJ	
PHY-009	sea	PHY	1	n	yes		SW	
PHY-010	river	PHY	2	n	yes		IDS	
PHY-011	lake	PHY	2	n	yes		IDS	
PHY-012	mountain	PHY	1	n	yes		SW	
PHY-013	stone / rock	PHY	1	n	yes		SW,LJ	
PHY-014	sand	PHY	1	n	yes		SW	
PHY-015	soil	PHY	2	n	yes		IDS	
PHY-016	dust	PHY	2	n	yes		LJ	
PHY-017	fire	PHY	1	n	yes		SW,LJ	
PHY-018	smoke	PHY	1	n	yes		SW,LJ	
PHY-019	ash	PHY	2	n	yes		SW	
PHY-020	wind	PHY	1	n	yes		SW	
PHY-021	air	PHY	2	n	yes		IDS	
PHY-022	rain	PHY	1	n	yes		SW,LJ	
PHY-023	cloud	PHY	1	n	yes		SW	
PHY-024	snow	PHY	2	n	yes		SW	
PHY-025	ice	PHY	2	n	yes		SW	
PHY-026	light (illumination)	PHY	2	n	yes		IDS	
PHY-027	shadow / shade	PHY	2	n	yes		LJ	
PHY-028	metal	PHY	3	n	yes		IDS	
PROP-001	big	PROP	1	mod	yes		SW	core antonym pair with small, both kept (rule 1)
PROP-002	small	PROP	1	mod	yes		SW	core pair, kept (un-big would lose a basic word)
PROP-003	long	PROP	1	mod	yes		SW	
PROP-004	short	PROP	2	mod	yes		IDS	
PROP-005	wide	PROP	2	mod	yes		IDS	
PROP-006	narrow	PROP	2	mod	yes		IDS	core pair, kept (drifted/frequent)
PROP-007	thick	PROP	2	mod	yes		IDS	
PROP-008	thin	PROP	2	mod	yes		SW	
PROP-009	heavy	PROP	2	mod	yes		SW	
PROP-010	light (in weight)	PROP	2	mod	yes		IDS	
PROP-011	hot	PROP	1	mod	yes		SW	core pair with cold, kept
PROP-012	cold	PROP	1	mod	yes		SW	core pair, kept
PROP-013	warm	PROP	2	mod	yes		IDS	
PROP-014	new	PROP	1	mod	yes		SW,LJ	
PROP-015	old (of things)	PROP	1	mod	yes		SW	
PROP-016	young	PROP	2	mod	yes		IDS	
PROP-017	good	PROP	1	mod	yes		SW,LJ	core pair with bad
PROP-018	bad	PROP	1	mod	yes		SW	kept though = good+opposite; basic & high-transfer (rule 1)
PROP-019	full	PROP	1	mod	yes		SW	
PROP-020	empty	PROP	2	mod	no	full + -ku(opposite)	IDS	derivable — pruned (policy demo)
PROP-021	dirty	PROP	2	mod	yes		SW	
PROP-022	clean	PROP	2	mod	yes		IDS	kept (frequent, not merely 'un-dirty')
PROP-023	wet	PROP	2	mod	yes		SW	
PROP-024	dry	PROP	1	mod	yes		SW	
PROP-025	hard / firm	PROP	2	mod	yes		IDS	
PROP-026	soft	PROP	2	mod	yes		IDS	
PROP-027	sharp	PROP	2	mod	yes		SW	core pair with dull
PROP-028	dull / blunt	PROP	2	mod	no	sharp + -ku(opposite)	SW	derivable — pruned (policy demo)
PROP-029	straight	PROP	2	mod	yes		SW	
PROP-030	round	PROP	2	mod	yes		SW	
PROP-031	flat	PROP	2	mod	yes		SW	
PROP-032	smooth	PROP	2	mod	yes		SW	
PROP-033	deep	PROP	2	mod	yes		IDS	
PROP-034	high	PROP	2	mod	yes		IDS	core pair with low
PROP-035	low	PROP	2	mod	yes		IDS	core pair, kept
PROP-036	far	PROP	1	mod	yes		SW	core pair with near
PROP-037	near	PROP	1	mod	yes		SW	core pair, kept
PROP-038	fast / quick	PROP	2	mod	yes		IDS	core pair with slow
PROP-039	slow	PROP	2	mod	yes		IDS	core pair, kept
PROP-040	strong	PROP	2	mod	yes		IDS	core pair with weak
PROP-041	weak	PROP	2	mod	yes		IDS	promoted to root — basic, high-transfer antonym (rule 1)
PROP-042	correct / right	PROP	2	mod	yes		IDS	core pair with wrong
PROP-043	wrong	PROP	2	mod	yes		IDS	promoted to root — basic, high-transfer antonym (rule 1)
PROP-044	true	PROP	2	mod	yes		IDS	
PROP-045	same	PROP	1	mod	yes		IDS	core pair with different
PROP-046	different	PROP	1	mod	yes		IDS	promoted to root — extremely frequent, high-transfer (rule 1)
PROP-047	black	PROP	1	mod	yes		SW,LJ	color
PROP-048	white	PROP	1	mod	yes		SW	color
PROP-049	red	PROP	1	mod	yes		SW,LJ	color
PROP-050	green	PROP	2	mod	yes		SW	color
PROP-051	yellow	PROP	2	mod	yes		SW	color
PROP-052	blue	PROP	2	mod	yes		IDS	color
PROP-053	alive	PROP	2	mod	yes		SW	core pair with dead
PROP-054	dead	PROP	2	mod	yes		SW	promoted to root — basic, high-transfer (rule 1); cf. verb 'die' BOD-030
BOD-001	head	BOD	1	n	yes		LJ	
BOD-002	hair	BOD	1	n	yes		SW	
BOD-003	eye	BOD	1	n	yes		SW,LJ	
BOD-004	ear	BOD	1	n	yes		SW,LJ	
BOD-005	nose	BOD	1	n	yes		SW	
BOD-006	mouth	BOD	1	n	yes		SW	
BOD-007	tooth	BOD	1	n	yes		SW,LJ	
BOD-008	tongue	BOD	1	n	yes		SW	
BOD-009	face	BOD	2	n	yes		IDS	
BOD-010	neck	BOD	2	n	yes		SW	
BOD-011	hand	BOD	1	n	yes		SW	
BOD-012	arm	BOD	2	n	yes		IDS	
BOD-013	finger	BOD	2	n	yes		IDS	
BOD-014	foot	BOD	1	n	yes		SW	
BOD-015	leg	BOD	2	n	yes		SW	
BOD-016	knee	BOD	2	n	yes		SW	
BOD-017	belly / stomach	BOD	2	n	yes		SW	
BOD-018	back (body)	BOD	2	n	yes		SW	
BOD-019	chest / breast	BOD	2	n	yes		SW	
BOD-020	heart	BOD	2	n	yes		SW	
BOD-021	blood	BOD	1	n	yes		SW,LJ	
BOD-022	bone	BOD	1	n	yes		SW	
BOD-023	skin	BOD	1	n	yes		SW,LJ	
BOD-024	flesh / meat	BOD	1	n	yes		SW	
BOD-025	body	BOD	2	n	yes		IDS	
BOD-026	breathe	BOD	2	v	yes		SW	
BOD-027	sleep	BOD	1	v	yes		SW,LJ	
BOD-028	eat	BOD	1	v	yes		SW,LJ	
BOD-029	drink	BOD	1	v	yes		SW	
BOD-030	die	BOD	1	v	yes		SW,LJ	cf. 'kill' = die+causative (ACT-041)
BOD-031	live	BOD	2	v	yes		SW	
BOD-032	heal / cure	BOD	3	v	yes		IDS	base for doctor = heal+agent (MOD-016)
KIN-001	person / human	KIN	1	n	yes		SW,LJ	
KIN-002	man / male person	KIN	1	n	yes		SW	
KIN-003	woman	KIN	1	n	yes		SW	
KIN-004	child	KIN	1	n	yes		SW	
KIN-005	mother	KIN	1	n	yes		LJ	
KIN-006	father	KIN	1	n	yes		IDS	
KIN-007	parent	KIN	2	n	yes		IDS	
KIN-008	male	KIN	2	mod	yes		IDS	enables son/husband by compounding
KIN-009	female	KIN	2	mod	yes		IDS	enables daughter by compounding
KIN-010	son	KIN	2	n	no	male + child	IDS	derivable — pruned (policy demo)
KIN-011	daughter	KIN	2	n	no	female + child	IDS	derivable — pruned
KIN-012	sibling	KIN	2	n	yes		IDS	brother/sister = male/female + sibling
KIN-013	spouse	KIN	2	n	yes		IDS	husband/wife = male/female + spouse
KIN-014	friend	KIN	2	n	yes		IDS	
KIN-015	people	KIN	1	n	no	person + pu(plural)	SW	derivable via plural particle (0002 §5.2)
ANI-001	animal	ANI	2	n	yes		IDS	
ANI-002	dog	ANI	1	n	yes		SW,LJ	
ANI-003	fish	ANI	1	n	yes		SW,LJ	
ANI-004	bird	ANI	1	n	yes		SW,LJ	
ANI-005	cat	ANI	2	n	yes		IDS	
ANI-006	horse	ANI	2	n	yes		IDS	
ANI-007	cow	ANI	2	n	yes		IDS	
ANI-008	egg	ANI	1	n	yes		SW	
ANI-009	tail	ANI	2	n	yes		SW	
ANI-010	wing	ANI	2	n	yes		IDS	
ANI-011	feather	ANI	2	n	yes		SW	
ANI-012	horn	ANI	2	n	yes		SW	
AGR-001	tree	AGR	1	n	yes		SW,LJ	
AGR-002	plant	AGR	2	n	yes		IDS	
AGR-003	wood	AGR	2	n	yes		LJ	
